"","community","ARSON","ASSAULT","BATTERY","BURGLARY","CONCEALED CARRY LICENSE VIOLATION","CRIM SEXUAL ASSAULT","CRIMINAL DAMAGE","CRIMINAL TRESPASS","DECEPTIVE PRACTICE","GAMBLING","HOMICIDE","HUMAN TRAFFICKING","INTERFERENCE WITH PUBLIC OFFICER","INTIMIDATION","KIDNAPPING","LIQUOR LAW VIOLATION","MOTOR VEHICLE THEFT","NARCOTICS","NON - CRIMINAL","NON-CRIMINAL","NON-CRIMINAL (SUBJECT SPECIFIED)","NON-VIOLENT OFFENSE INVOLVING CHILDREN","OBSCENITY","OTHER NARCOTIC VIOLATION","OTHER OFFENSE","PROSTITUTION","PUBLIC INDECENCY","PUBLIC PEACE VIOLATION","RITUALISM","ROBBERY","SEX OFFENSE","STALKING","THEFT","VIOLENT OFFENSE INVOLVING CHILDREN","WEAPONS VIOLATION"
"11",11,36,1395,3529,1629,0,58,3980,660,1537,17,15,0,43,17,42,74,1156,892,3,2,0,148,8,1,2318,10,1,145,0,398,114,24,5757,93,83
"12",12,8,495,1095,1235,0,27,2177,235,761,13,4,0,9,4,29,18,426,318,0,2,0,29,0,0,928,8,0,43,0,108,38,11,2866,36,17
"13",13,36,906,2508,1917,0,79,2930,451,994,27,10,0,20,15,21,58,1130,970,0,1,0,76,4,7,1350,47,0,130,0,449,136,14,5943,62,120
"14",14,97,2934,9989,3601,1,236,7817,1348,1956,62,63,0,105,45,50,271,3266,3148,0,2,0,182,3,6,3845,570,1,560,0,2124,375,27,11259,274,423
"15",15,150,4092,11908,5277,1,246,11748,1687,3632,31,30,0,126,53,84,301,4588,5198,1,1,0,270,13,3,6675,364,1,482,0,1852,342,34,18045,292,420
"16",16,151,3609,11656,5612,1,288,10796,1386,2596,44,48,0,91,39,74,214,5344,3453,0,1,0,182,5,1,4708,87,1,593,0,2050,392,44,15642,298,364
"17",17,68,2094,5593,3211,0,90,6757,767,1883,39,14,0,46,21,60,108,1967,1405,0,1,0,155,6,2,3627,10,0,184,0,670,186,19,8332,113,149
"18",18,31,814,2272,1258,0,42,2350,189,613,13,10,0,16,9,15,20,1121,411,0,0,0,50,2,0,1257,16,0,85,0,318,53,2,3405,66,43
"19",19,360,6926,19465,8597,7,463,15298,2182,4050,61,115,0,339,102,156,312,8169,7031,0,5,0,428,5,2,8272,1326,3,977,0,3944,544,37,22106,688,1113
"20",20,150,2319,7222,2697,0,170,4696,592,1094,10,44,0,115,11,55,110,2702,2945,0,2,0,130,5,1,2933,842,0,406,0,1259,182,17,5756,270,514
"21",21,152,3314,9139,4580,1,243,7714,1108,2428,29,66,0,75,21,58,180,4481,2646,0,0,0,149,10,0,3626,279,0,374,0,2362,274,29,13727,276,355
"22",22,280,6837,19340,10205,0,493,15776,2414,4785,30,130,0,175,70,125,423,8319,6575,1,3,0,344,11,4,7167,1558,3,791,1,4724,556,65,36732,554,818
"23",23,438,12205,38362,8094,2,736,17866,3137,3857,907,403,1,704,80,151,290,8925,45103,1,1,2,512,11,6,10251,3071,2,1258,0,7370,555,83,25514,880,2599
"24",24,303,8746,24130,13904,2,564,23625,3814,6876,97,148,0,213,97,83,647,9876,9268,1,4,0,296,14,9,7722,2090,4,948,0,6616,674,89,58388,399,1136
"25",25,633,23353,77517,15434,13,1665,34239,7309,9697,2405,776,5,1495,139,298,560,14738,90006,1,3,0,811,24,3,23399,7640,6,2449,1,16549,1023,102,50669,1617,5168
"26",26,167,6218,22130,3394,6,416,8919,1776,3764,436,272,2,527,35,76,134,4138,32338,1,0,0,193,4,1,4789,3236,2,526,1,5185,233,28,12593,355,1620
"27",27,148,7696,24287,3646,7,410,9543,2267,2762,498,230,0,418,68,73,137,4753,28045,1,0,1,266,10,0,5638,3174,2,712,0,4801,291,65,14281,344,1535
"28",28,98,9794,26077,5876,8,628,16945,9355,9020,217,187,6,231,126,61,248,8735,12342,1,7,0,526,20,3,8953,1858,4,1204,0,6162,582,90,58993,372,923
"29",29,312,11042,38589,6998,13,720,16548,3561,3270,992,386,0,508,73,90,217,6462,40547,2,2,0,367,14,0,9469,1444,2,1215,0,7184,503,74,22048,705,2688
"30",30,296,7056,21047,4662,3,466,12271,1581,2256,43,253,0,198,143,97,756,6624,8800,1,4,0,317,10,1,8180,1244,3,2411,0,4263,574,60,17157,695,1491
"31",31,133,4317,10563,2908,2,220,8429,1443,1909,9,106,0,95,46,38,362,3657,4092,1,1,0,173,10,1,3460,587,0,1008,0,1600,318,36,12996,300,765
"32",32,29,5824,11869,1972,0,329,6608,6899,16960,20,19,3,151,108,36,253,2053,3373,0,10,0,112,8,10,5974,510,16,1191,0,3810,539,99,74591,39,221
"33",33,31,2218,6425,1243,2,112,3506,7159,2729,32,33,0,91,27,21,49,1489,3278,0,3,0,117,5,2,2661,55,0,178,0,1102,130,39,13537,74,171
"34",34,34,1084,3396,1092,0,46,2719,1033,1621,87,16,0,42,19,6,60,1212,1467,0,1,0,52,2,0,964,44,2,105,0,1332,84,14,5956,42,147
"35",35,36,4232,12985,1602,0,265,4921,5932,2366,129,74,1,95,45,45,29,2488,12476,1,2,0,148,2,0,3555,76,1,307,0,2602,208,32,13060,166,459
"36",36,20,1075,2924,720,1,63,1642,534,408,28,21,0,12,10,9,2,662,1025,0,1,0,72,3,0,1131,0,1,48,0,421,55,8,2346,70,120
"37",37,22,1399,3762,735,0,81,1810,1001,929,49,33,1,92,33,14,13,932,3345,1,1,1,128,2,0,801,35,1,134,0,1046,48,11,3800,51,315
"38",38,71,6141,18349,4660,0,377,8955,2835,2327,229,156,2,161,45,61,69,3939,9380,0,0,0,186,11,0,5087,2037,1,366,0,3838,249,37,14079,317,850
"39",39,32,2495,6579,2059,0,152,3937,960,1462,69,32,0,27,20,27,12,1632,1883,0,1,0,127,5,0,2724,10,0,135,0,1413,114,18,8467,147,262
"40",40,67,4935,16194,3732,0,300,7158,2491,1210,264,138,1,155,24,54,64,3032,6937,0,0,0,163,7,0,3725,1278,1,349,0,3253,185,23,9058,307,862
"41",41,26,1925,4578,2996,0,185,3963,1033,2407,32,24,1,28,14,27,28,2127,964,0,0,0,126,4,0,2404,4,2,114,0,2139,158,26,12428,96,141
"42",42,120,7338,21344,6434,4,473,10994,4763,2516,439,164,1,345,72,110,90,3638,12377,0,1,0,407,7,0,6969,634,1,953,0,4409,357,50,13625,451,1331
"43",43,250,14330,43665,15608,5,973,23234,5114,6188,506,364,1,472,105,175,133,8383,17960,1,1,0,724,18,0,14536,1036,3,1073,0,9158,575,107,31558,1024,2268
"44",44,152,8685,24607,8085,6,549,13368,3427,5828,196,248,1,303,66,129,106,7052,10852,0,2,0,373,8,1,8261,400,5,602,1,7161,322,115,28010,547,1446
"45",45,55,2379,6113,2112,1,156,3535,563,1207,35,52,0,49,25,39,19,1842,1644,0,0,0,97,3,0,2130,14,1,278,0,1757,89,23,6427,160,436
"46",46,199,9381,25206,7799,2,523,13928,2756,2880,202,240,2,301,92,128,194,4607,11730,0,0,0,485,6,3,7798,510,0,910,2,4525,381,68,16749,737,1796
"47",47,30,723,1832,804,1,48,1283,169,208,51,27,0,15,4,5,8,438,938,0,0,0,34,0,0,624,2,0,68,0,308,24,6,1305,47,145
"48",48,32,2162,5508,2339,0,156,4365,641,1403,38,45,0,44,20,45,55,2318,1959,0,0,0,148,2,0,2524,2,0,142,0,1659,78,29,6725,167,404
"49",49,306,12577,34704,10313,9,784,19609,4211,4647,361,313,3,535,97,188,100,7266,18881,1,0,0,511,12,1,10354,1298,1,1055,0,7176,504,77,24110,790,2618
"50",50,32,2392,5380,1134,1,101,2916,718,894,26,30,0,93,60,49,12,1164,1380,2,3,1,163,1,0,1840,5,2,200,1,730,92,26,4516,156,332
"51",51,78,3363,7405,2443,3,151,5572,1161,1527,66,70,0,97,34,47,62,1787,2635,1,2,0,226,1,0,2977,7,2,257,1,1314,99,30,7311,241,600
"52",52,84,2431,5635,2245,0,112,6167,541,900,7,36,0,50,25,74,79,1353,2283,0,0,0,230,2,2,2359,3,0,341,0,526,153,18,4387,205,441
"53",53,234,7871,22150,7096,6,508,13375,1899,2347,182,230,0,327,71,132,88,4578,11189,0,0,0,356,2,0,6964,1029,0,585,1,3683,317,53,12854,609,1921
"54",54,39,2790,8074,1273,1,142,3657,919,392,44,69,0,70,11,26,16,828,2014,0,0,0,92,4,0,1737,4,1,146,0,966,120,20,2778,183,481
"55",55,47,1011,2376,994,0,47,2176,276,534,11,15,0,19,18,18,27,576,796,0,1,0,70,2,0,1140,2,0,102,0,207,44,21,2578,77,112
"56",56,93,2748,7071,3395,43,160,8199,1240,3093,35,49,0,74,28,41,89,2378,3299,1,5,0,163,5,1,3216,2803,0,380,0,1306,201,26,10315,163,466
"57",57,53,1062,2914,1845,0,87,3787,299,847,8,24,0,18,10,39,52,1620,966,0,1,0,71,5,0,1163,549,2,174,0,849,118,10,5273,92,168
"58",58,177,3391,10783,4475,0,262,8558,921,1780,18,127,0,128,49,86,201,4311,4513,1,0,0,195,11,1,3784,2208,2,782,0,2168,406,33,9430,399,775
"59",59,75,1486,3758,1807,2,68,4168,443,916,11,26,1,35,21,20,80,1605,1697,0,1,0,79,3,0,1457,31,0,152,0,626,119,14,6515,123,198
"60",60,109,2715,6366,3220,1,135,7072,991,1464,20,36,1,61,42,44,104,2051,1744,2,2,1,103,8,0,2829,213,1,296,0,808,177,22,8371,152,227
"61",61,327,9077,27178,6975,1,552,13978,2603,2878,385,314,1,439,81,101,303,5554,16729,0,3,1,310,11,1,6893,2205,5,1408,0,4423,536,40,20622,742,2309
"62",62,60,1190,3037,2292,0,76,4428,480,1051,8,25,0,32,5,32,46,1470,1185,0,0,0,79,8,0,1440,7,1,240,0,854,118,19,5368,94,164
"63",63,209,3311,9789,4206,2,259,8366,956,1507,38,127,1,113,34,61,152,3988,5356,1,0,0,210,7,0,3465,172,0,913,0,2264,311,27,9653,348,799
"64",64,51,1496,3836,2017,0,68,4820,404,1250,17,15,0,30,19,28,53,1115,999,1,0,0,154,5,0,2228,11,2,182,0,355,99,18,4693,105,110
"65",65,108,2125,5811,3520,0,154,7238,682,1837,27,32,0,38,23,59,77,2637,1743,0,1,1,189,7,1,2731,20,1,307,0,1501,206,24,14365,229,244
"66",66,308,10276,30146,11402,4,664,18757,3298,4246,461,269,0,439,59,155,225,8186,17369,5,6,0,531,14,0,9700,559,0,1536,0,7408,555,48,22471,755,2042
"67",67,390,13366,42599,11340,17,871,20557,3698,3533,802,389,3,726,72,157,171,6816,24325,0,2,0,399,10,0,9991,2090,1,1217,1,7202,524,57,24465,817,3523
"68",68,338,12845,40762,10027,14,825,17784,3747,3251,618,402,1,517,81,137,138,6561,19693,0,0,0,384,10,0,8979,1983,3,1210,1,7341,528,67,21666,731,2914
"69",69,222,11286,33773,8924,6,746,16445,5371,4550,346,337,2,438,77,150,154,7812,14953,0,2,0,493,7,1,9909,481,2,1028,1,7933,477,84,21656,750,2135
"70",70,97,3768,8941,4831,0,217,8901,1048,2495,60,74,0,63,34,72,59,3177,2341,3,0,0,212,17,1,4366,41,0,453,0,2476,218,36,10922,280,463
"71",71,253,12469,36670,11888,5,767,19300,4924,5003,495,300,3,566,106,186,200,7946,19081,0,2,0,713,6,1,11656,997,3,1084,1,8149,489,102,26184,956,2652
"72",72,23,1144,2472,1977,0,58,3272,611,1613,4,12,0,23,14,69,69,1034,561,0,0,0,136,2,0,1930,2,0,114,0,693,85,18,5952,95,98
"73",73,98,5054,13540,4550,1,334,9022,1806,2642,156,149,0,171,30,110,42,3867,6774,0,1,0,298,6,0,5562,114,1,488,0,3046,239,39,12820,401,998
"74",74,15,972,2040,629,0,45,2253,392,932,3,2,0,15,17,85,77,298,483,0,0,0,176,3,1,1405,2,0,89,0,180,78,19,3453,72,51
"75",75,69,3405,8907,3181,1,174,6221,1243,2251,64,68,0,108,42,94,55,2103,3890,0,1,0,303,7,0,3894,14,2,355,0,1504,137,30,10088,258,559
"76",76,8,1208,3129,394,53,46,2717,2785,2802,1,5,0,35,11,10,16,1200,2043,1,19,0,49,1,0,6233,29,0,326,0,142,102,15,10385,34,152
"77",77,61,3286,9810,3503,1,254,6742,1932,3586,52,48,0,68,31,33,195,2175,3081,0,2,0,132,7,1,4456,148,1,488,0,2082,284,29,17143,188,267
